"rec_id","continent_fk","country_fk","processing_method","harvest_year","expiration_date"
0,"Africa","Ethiopia","Washed - Wet","2014","2016-04-03"
1,"Africa","Ethiopia","Washed - Wet","2014","2016-04-03"
2,"North America","Guatemala",NULL,NULL,"2011-05-31"
3,"Africa","Ethiopia","Natural - Dry","2014","2016-03-25"
4,"Africa","Ethiopia","Washed - Wet","2014","2016-04-03"
5,"South America","Brazil","Natural - Dry","2013","2014-09-03"
6,"South America","Peru","Washed - Wet","2012","2013-09-17"
7,"Africa","Ethiopia",NULL,"2010","2011-09-02"
8,"Africa","Ethiopia",NULL,"2010","2011-09-02"
9,"Africa","Ethiopia","Natural - Dry","2014","2016-03-29"
10,"Africa","Ethiopia","Natural - Dry","2014","2016-03-26"
11,"North America","United States","Washed - Wet","2014","2016-03-12"
12,"North America","United States","Washed - Wet","2014","2016-03-12"
13,"North America","United States",NULL,"2009","2011-05-31"
14,"Africa","Ethiopia",NULL,"2010","2011-08-31"
15,"North America","United States","Washed - Wet","2014","2016-03-12"
16,"Asia","Indonesia",NULL,NULL,"2011-05-31"
17,"Africa","Ethiopia",NULL,"2009","2011-06-16"
18,"Asia","China","Washed - Wet","2015","2017-04-07"
19,"Africa","Ethiopia","Natural - Dry","2014","2016-03-24"
20,"North America","United States","Washed - Wet","2014","2016-03-12"
21,"North America","Costa Rica","Washed - Wet","2014","2015-04-02"
22,"North America","Mexico","Washed - Wet","2012","2013-07-26"
23,"North America","United States","Washed - Wet","2014","2016-03-12"
24,"Africa","Ethiopia","Natural - Dry","2013","2014-09-03"
25,"South America","Brazil","Natural - Dry","2011","2012-12-02"
26,"Africa","Ethiopia",NULL,"2009","2011-06-16"
27,"Africa","Uganda","Washed - Wet","2013","2015-06-26"
28,"North America","Honduras",NULL,"2016","2018-05-18"
29,"Asia","Taiwan","Pulped natural - honey","2015","2017-05-18"
30,"North America","Nicaragua",NULL,NULL,"2011-05-18"
31,"Africa","Tanzania","Natural - Dry","2012","2014-09-03"
32,"South America","Brazil","Natural - Dry","2011","2012-12-02"
33,"North America","Costa Rica","Washed - Wet","2015","2016-12-02"
34,"Africa","Ethiopia","Natural - Dry","2014","2016-03-26"
35,"Africa","Kenya","Washed - Wet","2013","2015-05-30"
36,"North America","United States","Natural - Dry","2012","2013-04-06"
37,"North America","United States",NULL,"2010","2012-01-28"
38,"Africa","Ethiopia",NULL,"2009","2011-06-17"
39,"North America","United States","Washed - Wet","2014","2016-03-12"
40,"Asia","Thailand","Washed - Wet","2012","2013-04-12"
