"rec_id_fk","species","variety","color","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","moisture","quakers","defect_one","defect_two"
0,"Arabica",NULL,"Green","8.67","8.83","8.67","8.75","8.50","8.42","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
1,"Arabica","Other","Green","8.75","8.67","8.50","8.58","8.42","8.42","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
2,"Arabica","Bourbon",NULL,"8.42","8.50","8.42","8.42","8.33","8.42","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
3,"Arabica",NULL,"Green","8.17","8.58","8.42","8.42","8.50","8.25","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
4,"Arabica","Other","Green","8.25","8.50","8.25","8.50","8.42","8.33","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
5,"Arabica",NULL,"Bluish-Green","8.58","8.42","8.42","8.50","8.25","8.33","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
6,"Arabica","Other","Bluish-Green","8.42","8.50","8.33","8.50","8.25","8.25","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
7,"Arabica",NULL,NULL,"8.25","8.33","8.50","8.42","8.33","8.50","10.00","10.00","9.33","0.03","0.00","0.00","0.00"
8,"Arabica",NULL,NULL,"8.67","8.67","8.58","8.42","8.33","8.42","9.33","10.00","9.33","0.03","0.00","0.00","0.00"
9,"Arabica","Other","Green","8.08","8.58","8.50","8.50","7.67","8.42","10.00","10.00","10.00","0.10","0.00","0.00","4.00"
10,"Arabica",NULL,NULL,"8.17","8.67","8.25","8.50","7.75","8.17","10.00","10.00","10.00","0.10","0.00","0.00","1.00"
11,"Arabica","Other",NULL,"8.25","8.42","8.17","8.33","8.08","8.17","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
12,"Arabica","Other",NULL,"8.08","8.67","8.33","8.42","8.00","8.08","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
13,"Arabica",NULL,NULL,"8.33","8.42","8.08","8.25","8.25","8.00","10.00","10.00","10.00","0.00","0.00","0.00","2.00"
14,"Arabica",NULL,NULL,"8.25","8.33","8.50","8.25","8.58","8.75","9.33","10.00","9.33","0.05","0.00","0.00","2.00"
15,"Arabica","Other",NULL,"8.00","8.50","8.58","8.17","8.17","8.00","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
16,"Arabica",NULL,NULL,"8.33","8.25","7.83","7.75","8.50","8.42","10.00","10.00","10.00","0.03","0.00","0.00","0.00"
17,"Arabica",NULL,NULL,"8.17","8.33","8.25","8.33","8.42","8.33","9.33","10.00","9.33","0.05","0.00","0.00","2.00"
18,"Arabica","Catimor","Green","8.42","8.25","8.08","8.17","7.92","8.00","10.00","10.00","10.00","0.10","0.00","0.00","0.00"
19,"Arabica","Ethiopian Yirgacheffe",NULL,"8.17","8.17","8.00","8.17","8.08","8.33","10.00","10.00","10.00","0.00","0.00","0.00","8.00"
20,"Arabica","Other","None","8.00","8.25","8.08","8.50","8.25","8.00","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
21,"Arabica","Caturra","Green","8.08","8.25","8.00","8.17","8.00","8.33","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
22,"Arabica","Other","Green","8.17","8.25","8.17","8.00","7.83","8.17","10.00","10.00","10.00","0.13","0.00","0.00","0.00"
23,"Arabica","Other",NULL,"8.25","8.33","8.17","8.17","7.83","8.17","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
24,"Arabica",NULL,"Bluish-Green","8.42","8.17","7.92","8.17","8.33","8.00","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
25,"Arabica","Bourbon","Green","8.50","8.50","8.00","8.00","8.00","8.00","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
26,"Arabica",NULL,NULL,"7.83","8.25","8.08","8.17","8.17","8.17","10.00","10.00","10.00","0.05","0.00","0.00","2.00"
27,"Arabica","SL14","Green","8.42","8.17","8.17","8.17","7.83","7.92","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
28,"Arabica","Caturra","Green","8.17","8.08","8.08","8.00","8.08","8.00","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
29,"Arabica","Sumatra","Green","8.00","8.00","8.00","8.25","8.00","8.17","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
30,"Arabica",NULL,NULL,"7.92","8.25","8.00","8.33","8.00","8.08","10.00","10.00","10.00","0.08","0.00","0.00","2.00"
31,"Arabica",NULL,"Bluish-Green","8.42","8.17","8.17","8.00","7.58","8.00","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
32,"Arabica","Bourbon","Green","8.50","8.17","8.00","7.75","8.00","8.00","10.00","10.00","10.00","0.12","0.00","0.00","2.00"
33,"Arabica","Caturra","Blue-Green","8.17","7.83","8.00","8.08","7.83","8.00","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
34,"Arabica",NULL,"Green","8.00","8.08","7.92","8.00","8.08","8.08","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
35,"Arabica","SL34","Blue-Green","8.08","8.00","8.00","8.25","7.92","7.92","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
36,"Arabica","Hawaiian Kona",NULL,"8.08","8.17","8.00","7.92","7.92","7.83","10.00","10.00","10.00","0.00","0.00","1.00","4.00"
37,"Arabica",NULL,NULL,"8.25","8.42","8.08","7.75","7.67","7.83","10.00","10.00","10.00","0.00","0.00","2.00","1.00"
38,"Arabica",NULL,NULL,"7.92","7.75","8.08","8.08","8.08","8.17","10.00","10.00","10.00","0.10","0.00","0.00","2.00"
39,"Arabica","Other",NULL,"7.67","8.17","8.00","8.00","8.17","8.08","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
40,"Arabica","Caturra","Green","7.83","8.33","7.83","8.25","7.58","7.92","10.00","10.00","10.00","0.10","0.00","1.00","9.00"
41,"Arabica","Yellow Bourbon",NULL,"8.17","7.92","7.92","7.75","8.33","8.00","10.00","10.00","10.00","0.08","0.00","0.00","2.00"
42,"Arabica","Yellow Bourbon",NULL,"8.42","7.92","8.00","7.75","7.92","8.00","10.00","10.00","10.00","0.01","0.00","0.00","3.00"
43,"Arabica","Bourbon","Green","8.08","8.17","7.75","8.08","7.75","7.83","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
44,"Arabica","SL28","Bluish-Green","8.08","8.08","8.00","8.00","7.83","8.08","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
45,"Arabica","Bourbon","Blue-Green","8.33","8.00","8.00","8.00","7.75","8.00","10.00","10.00","10.00","0.11","0.00","0.00","2.00"
46,"Arabica",NULL,NULL,"8.08","8.08","7.83","7.92","8.08","7.92","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
47,"Arabica","Caturra","Green","7.75","7.92","7.83","8.08","8.08","8.17","10.00","10.00","10.00","0.12","0.00","1.00","1.00"
48,"Arabica","SL28","Green","7.92","8.17","7.83","8.50","7.50","7.92","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
49,"Arabica","Other","Blue-Green","8.25","8.00","7.83","8.08","8.00","7.92","10.00","10.00","10.00","0.10","0.00","0.00","0.00"
50,"Arabica",NULL,NULL,"7.75","8.08","8.00","8.25","8.00","8.00","10.00","10.00","10.00","0.01","0.00","0.00","4.00"
51,"Arabica",NULL,NULL,"8.33","8.17","7.75","8.00","7.75","7.83","10.00","10.00","10.00","0.00","0.00","0.00","0.00"
52,"Arabica","Bourbon","Green","7.92","8.08","7.92","8.08","8.08","7.83","10.00","10.00","10.00","0.10","1.00","0.00","3.00"
53,"Arabica","SL14","Green","8.17","8.17","7.92","8.08","7.83","7.75","10.00","10.00","10.00","0.12","0.00","0.00","0.00"
54,"Arabica","Caturra","Blue-Green","8.00","8.00","8.00","8.17","7.83","8.00","10.00","10.00","10.00","0.00","0.00","1.00","0.00"
55,"Arabica","Gesha","Bluish-Green","8.00","8.00","7.92","8.08","7.83","8.00","10.00","10.00","10.00","0.08","1.00","0.00","0.00"
56,"Arabica",NULL,"Green","7.83","8.08","7.92","8.08","8.00","7.92","10.00","10.00","10.00","0.10","0.00","0.00","4.00"
57,"Arabica","Bourbon","Green","7.83","8.00","8.00","8.17","7.83","8.00","10.00","10.00","10.00","0.12","0.00","0.00","3.00"
58,"Arabica","Catuai","Bluish-Green","8.00","8.00","7.83","8.33","7.83","7.83","10.00","10.00","10.00","0.10","0.00","0.00","1.00"
59,"Arabica","Caturra","None","7.83","8.00","7.83","8.17","7.92","8.00","10.00","10.00","10.00","0.09","4.00","0.00","7.00"
60,"Arabica",NULL,"Green","8.00","8.00","8.00","8.08","7.92","7.75","10.00","10.00","10.00","0.10","0.00","4.00","6.00"
61,"Arabica",NULL,"Bluish-Green","8.33","8.42","7.83","8.33","8.00","8.25","9.33","9.33","10.00","0.12","0.00","0.00","1.00"
62,"Arabica","Bourbon","Blue-Green","7.92","8.17","8.00","7.92","7.75","7.83","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
63,"Arabica","Bourbon","None","7.83","8.00","8.00","7.75","7.92","8.17","10.00","10.00","10.00","0.11","0.00","0.00","0.00"
64,"Arabica","Hawaiian Kona",NULL,"7.83","8.00","7.92","7.75","8.08","8.00","10.00","10.00","10.00","0.00","0.00","0.00","1.00"
65,"Arabica","Caturra",NULL,"8.00","7.75","7.83","7.83","7.67","8.58","10.00","10.00","10.00","0.09","0.00","2.00","2.00"
66,"Arabica","SL28","Green","7.92","7.92","7.83","8.08","7.83","7.92","10.00","10.00","10.00","0.10","0.00","0.00","3.00"
67,"Arabica","Other","Green","7.83","8.00","7.83","7.92","7.83","8.08","10.00","10.00","10.00","0.12","0.00","0.00","7.00"
68,"Arabica","SL14","Green","8.33","7.92","7.67","7.92","7.67","7.92","10.00","10.00","10.00","0.12","0.00","0.00","1.00"
69,"Arabica","Bourbon","Green","8.00","7.83","7.67","8.33","7.83","8.00","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
70,"Arabica",NULL,"Green","7.75","7.83","7.83","8.17","7.92","7.83","10.00","10.00","10.00","0.10","0.00","0.00","18.00"
71,"Arabica","SL14","Green","8.08","8.00","7.83","7.67","8.00","7.83","10.00","10.00","10.00","0.12","0.00","0.00","5.00"
72,"Arabica","Hawaiian Kona",NULL,"7.92","7.92","7.75","7.92","7.75","7.92","10.00","10.00","10.00","0.00","0.00","4.00","6.00"
73,"Arabica","Bourbon","Blue-Green","8.00","8.00","8.00","7.67","7.75","8.00","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
74,"Arabica",NULL,NULL,"8.08","7.83","7.83","8.08","7.83","7.83","10.00","10.00","10.00","0.01","0.00","0.00","0.00"
75,"Arabica","Catimor","Green","8.00","8.00","8.00","7.83","7.83","7.75","10.00","10.00","10.00","0.10","0.00","0.00","0.00"
76,"Arabica","Pacamara","Green","7.83","7.75","7.83","7.67","7.83","8.58","10.00","10.00","10.00","0.11","0.00","0.00","1.00"
77,"Arabica","Caturra","Bluish-Green","7.92","8.08","8.00","7.92","8.00","8.08","10.00","10.00","9.33","0.00","0.00","0.00","0.00"
